Title,First_author,Year_of_publication,Disease_studied,Disease_plot,Mosquito_species,Country,Region,WHO_region,Model_type,Spatial_model,Spatial_model_class,Spatial_method,Spatial_scale,Spatial_data,Spatial_data_standardised,Mixed_data,Connectivity_assumption,Connectivity_assumption_standardised,Mixed_connectivity_assumption,Assumption_plot
Spread of yellow fever virus outbreak in Angola and the Democratic Republic of the Congo 2015–16: a modelling study,"Kraemer, M. U. G. ",2017,Yellow fever,Yellow fever,Aedes,Angola and DRC,,AFRO,Statistical,GLM,Fixed effect,Covariate,District,"Adjacency, distance, transportation matrix, mobile phone data and mathematical model",Mixed,"Distance, adjacency, data and mathematical model",Human movement,Human movement,,Human movement
Vector-borne infectious disease mapping with stochastic difference equations: an analysis of dengue disease in Malaysia,"Samat, N. A. ",2012,Dengue,Dengue,Aedes,Malaysia,,WPRO,Mechanistic,Compartmental,Compartmental,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
A validated agent-based model to study the spatial and temporal heterogeneities of malaria incidence in the rainforest environment,"Pizzitutti, F. ",2015,Malaria (P. falciparum and P. vivax),Malaria,Anopheles,Peru,"Padre Cocha, Loreto",PAHO,Mechanistic,Agent-based model,Compartmental,Movement matrix,Patch,Adjacent grids containing humans and other covariates,Adjacency,,Mosquito movement,Vector movement,,Vector movement
Climate-driven variation in mosquito density predicts the spatiotemporal dynamics of dengue,"Li, R. ",2018,Dengue,Dengue,Aedes,China,,WPRO,Mechanistic,Compartmental,Compartmental,Smoothed function,Individual,Coordinates,Coordinates,,"All regions are connected, more connected when closer",Distance,,Distance-based
Effectiveness of Ultra-Low Volume insecticide spraying to prevent dengue in a non-endemic metropolitan area of Brazil,"Marini, G. ",2019,Dengue,Dengue,Aedes,Brazil,Porto Alegre,PAHO,Mechanistic,Compartmental,Compartmental,Coefficient,Patch,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Quantifying the spatial spread of dengue in a non-endemic Brazilian metropolis via transmission chain reconstruction,"Guzzetta, G. ",2018,Dengue,Dengue,Aedes,Brazil,Porto Alegre,PAHO,Mechanistic,Compartmental,Compartmental,Coefficient,Individual,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
An online spatiotemporal prediction model for dengue fever epidemic in Kaohsiung (Taiwan),"Yu, H. L. ",2014,Dengue,Dengue,Aedes,Taiwan,Kaohshiung,WPRO,Mechanistic,Metapopulation,Compartmental,Coefficient,District,Distance,Distance,,Human movement,Human movement,,Human movement
"Effects of human mobility, temperature and mosquito control on the spatiotemporal transmission of dengue","Zhu, G. ",2018,Dengue,Dengue,Aedes,China,"Pearl River Delta, Southern China",WPRO,Mechanistic,Metapopulation,Compartmental,Movement matrix,Patch,Mathematical model,Mathematical model,,Human movement,Human movement,,Human movement
Hitting a moving target: A model for malaria elimination in the presence of population movement,"Silal, S. P.",2015,Malaria,Malaria,Anopheles,South Africa and Mozambique,Mpumalanga and Maputo Provinces,AFRO,Mechanistic,Metapopulation,Compartmental,Movement matrix,Patch,Distance,Distance,,Human movement,Human movement,,Human movement
Impact of adult mosquito control on dengue prevalence in a multi-patch setting: A case study in Kolkata (2014-2015),"Senapati, A. ",2019,Dengue,Dengue,Aedes,India,Kolkata,SEARO,Mechanistic,Metapopulation,Compartmental,Movement matrix,District,Mathematical model,Mathematical model,,Human movement,Human movement,,Human movement
"Inferring the Spatio-temporal Patterns of Dengue Transmission from Surveillance Data in Guangzhou, China","Zhu, G.",2016,Dengue,Dengue,Aedes,China,Guangzhou,WPRO,Mechanistic,Metapopulation,Compartmental,Movement matrix,District,Mathematical model,Mathematical model,,Human movement,Human movement,,Human movement
A network-based meta-population approach to model Rift Valley fever epidemics,"Xue, L. ",2012,Rift Valley Fever,Rift Valley Fever,Culex,South Africa,"Free State, Northern Cape and Eastern Cape",AFRO,Mechanistic,Metapopulation,Compartmental,Movement matrix,District,"Wind, distance, data (livestock sales) and mathematical model",Mixed,"Distance, data, mathematical model and wind","Human, mosquito and livestock movement",Mixed,Human and vector movement,Mixed
A spatial simulation model for dengue virus infection in urban areas,"Karl, S. ",2014,Dengue,Dengue,Aedes,Australia,Cairns,WPRO,Mechanistic,Agent-based model,Compartmental,Movement matrix,Patch,"Distance, adjacency and survey ",Mixed,"Distance, adjacency and data ",Human and mosquito movement,Mixed,Human and vector movement,Mixed
A metapopulation model for chikungunya including populations mobility on a large-scale network,"Moulay, D. ",2013,Chikungunya,Chikungunya,Aedes,Reunion Island,,WPRO,Mechanistic,Metapopulation,Compartmental,Movement matrix,Patch,Mathematical model and distance,Mixed,Mathematical model and distance,Human movement,Human movement,,Human movement
Assessing the interplay between human mobility and mosquito borne diseases in urban environments,"Massaro, E.",2019,Dengue,Dengue,Aedes,Singapore,,WPRO,Mechanistic,Agent-based model,Compartmental,Movement matrix,Patch,Mobile phone and mathematical model,Mixed,Mathematical model and data,Human movement,Human movement,,Human movement
Impact of human mobility on the emergence of dengue epidemics in Pakistan,Wesolowski A,2015,Dengue,Dengue,Aedes,Pakistan,,EMRO,Mechanistic,Metapopulation,Compartmental,Movement matrix,District,Mobile phone and mathematical model,Mixed,Mathematical model and data,Human movement,Human movement,,Human movement
"Inferences about spatiotemporal variation in dengue virus transmission are sensitive to assumptions about human mobility: a case study using geolocated tweets from Lahore, Pakistan","Kraemer, M. U. G. ",2018,Dengue,Dengue,Aedes,Pakistan,Lahore,EMRO,Mechanistic,Metapopulation,Compartmental,Movement matrix,District,Data and mathematical models,Mixed,Mathematical model and data,Human movement,Human movement,,Human movement
Projecting the end of the Zika virus epidemic in Latin America: A modelling analysis,"O'Reilly, K. M. ",2018,Zika,Zika,Aedes,Latin America and the Caribbean,,PAHO,Mechanistic,Metapopulation,Compartmental,Coefficient,District,Mathemtical models and data,Mixed,Mathematical model and data,Human movement,Human movement,,Human movement
Quantifying the risk of local Zika virus transmission in the contiguous US during the 2015-2016 ZIKV epidemic,"Sun, K. ",2018,Zika,Zika,Aedes,"Data: French Polynesia, Model: USA",,PAHO,Mechanistic,Metapopulation,Compartmental,Movement matrix,Patch,Mobility data ad mathematical model,Mixed,Mathematical model and data,Human movement,Human movement,,Human movement
Spread of Zika virus in the Americas,"Zhang, Q.  ",2017,Zika,Zika,Aedes,"Data: French Polynesia, Model: the Americas",,PAHO,Mechanistic,Metapopulation,Compartmental,Movement matrix,Patch,Mobility data ad mathematical model,Mixed,Mathematical model and data,Human movement,Human movement,,Human movement
Identifying Malaria Transmission Foci for Elimination Using Human Mobility Data,Ruktanonchai NW,2016,Malaria (P. falciparum),Malaria,Anopheles,Namibia,,AFRO,Mechanistic,Metapopulation,Compartmental,Coefficient,Patch,Mobility data,Mobility data,,Human movement,Human movement,,Human movement
Inferring the risk factors behind the geographical spread and transmission of Zika in the Americas,"Gardner, L. M. ",2018,Zika,Zika,Aedes,the Americas,,PAHO,Mechanistic,GIIM,Compartmental,Movement matrix,Country and district,Mobility data,Mobility data,,Human movement,Human movement,,Human movement
Multi-season analysis reveals the spatial structure of disease spread,"Seroussi, I. ",2020,West Nile fever,West Nile fever,Culex,USA,Contiguous USA (not Alaska or Hawaii),PAHO,Mechanistic,Metapopulation,Compartmental,Movement matrix,District,Mobility data,Mobility data,,Human movement,Human movement,,Human movement
An outbreak vector-host epidemic model with spatial structure: the 2015-2016 Zika outbreak in Rio De Janeiro,"Fitzgibbon, W. E. ",2017,Zika,Zika,Aedes,Brazil,Rio de Janeiro,PAHO,Mechanistic,Metapopulation,Compartmental,Coefficient,Patch,No data,No data,,Human and mosquito movement,Mixed,Human and vector movement,Mixed
Optimal control of vaccination in a vector-borne reaction-diffusion model applied to Zika virus,"Miyaoka, T. Y. ",2019,Zika,Zika,Aedes,Brazil,Rio Grande do Norte,PAHO,Mechanistic,Compartmental,Compartmental,Coefficient,District,No data,No data,,Human and mosquito movement,Mixed,Human and vector movement,Mixed
Assessing the role of human mobility on malaria transmission,"Mukhtar, A. Y. A. ",2020,Malaria,Malaria,Anopheles,South Sudan,"Central Equatoria State, Western Bahr El Ghazal State and Warrap State",AFRO,Mechanistic,Metapopulation,Compartmental,Coefficient,District,Not given,Not given,,Human movement,Human movement,,Human movement
"Assessing the effects of daily commuting in two-patch dengue dynamics: A case study of Cali, Colombia","Barrios, E. ",2018,Dengue,Dengue,Aedes,Colombia,Cali (and surrounding areas),PAHO,Mechanistic,Metapopulation,Compartmental,Movement matrix,Patch,Type of neighbourhood,Other covariates,,Human movement,Human movement,,Human movement
Sir-network model and its application to dengue fever,"Stolerman, L. M.",2015,Dengue,Dengue,Aedes,Brazil,Rio de Janeiro,PAHO,Mechanistic,Metapopulation,Compartmental,Movement matrix,District,Type of neighbourhood,Other covariates,,Human movement,Human movement,,Human movement
"Bayesian spatial-temporal autologistic regression model on dengue hemorrhagic fever in East Java, Indonesia","Astutik, A. ",2013,DHF,Dengue,Aedes,Indonesia,East Java,SEARO,Statistical,GLM,Fixed effect,Covariate,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Higher temperature and urbanization affect the spatial patterns of dengue fever transmission in subtropical Taiwan,"Wu, P. C. ",2009,Dengue,Dengue,Aedes,Taiwan,,WPRO,Statistical,GLM,Fixed effect,Covariate,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"National and regional associations between human West Nile virus incidence and demographic, landscape, and land use conditions in the coterminous United States","DeGroote, J. P. ",2012,West Nile fever,West Nile fever,Culex,USA,,PAHO,Statistical,GLM,Fixed effect,Covariate,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Prediction of dengue outbreaks based on disease surveillance, meteorological and socio-economic data","Jain, R. ",2019,Dengue,Dengue,Aedes,Thailand,Bangkok,SEARO,Statistical,GAM and DLNM,Fixed effect,Covariate,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
The spatial heterogeneity between Japanese encephalitis incidence distribution and environmental variables in Nepal,"Impoinvil, D. E. ",2011,Japanese Encephalitis,Japanese Encephalitis,Culex,Nepal,,SEARO,Statistical,GLM,Fixed effect,Covariate,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
A comparison of six analytical disease mapping techniques as applied to West Nile Virus in the coterminous United States,"Griffith, D. A.",2005,West Nile fever,West Nile fever,Culex,USA,,PAHO,Statistical,GLMM and GLM,Fixed effect,Covariate and random effect,District,Adjacency,Adjacency,,Regions sharing characteristics are connected,Shared characteristics,,Distance-based
"Assessment of the relationship between entomologic indicators of Aedes aegypti and the epidemic occurrence of dengue virus 3 in a susceptible population, São José do Rio Preto, São Paulo, Brazil","Chiaravalloti-Neto, F. ",2014,Dengue,Dengue,Aedes,Brazil,Jaguaré neighborhood of São José do Rio Preto municipality,PAHO,Statistical,GAM,Fixed effect,Smoothed function,Individual,Coordinates,Coordinates,,All regions connected,Distance,,Distance-based
Identifying high risk areas of Zika virus infection by meteorological factors in Colombia,"Chien, L. C. ",2019,Zika,Zika,Aedes,Colombia,,PAHO,Statistical,GAM,Fixed effect,Smoothed function,District,Coordinates,Coordinates,,"All regions are connected, more connected when closer",Distance,,Distance-based
Low socioeconomic condition and the risk of dengue fever: A direct relationship,"Farinelli, E. C. ",2018,Dengue,Dengue,Aedes,Brazil,"Várzea Paulista, São Paulo",PAHO,Statistical,GAM,Fixed effect,Smoothed function,Individual,Coordinates,Coordinates,,Areas within fixed distance are connected,Distance,,Distance-based
"Malaria prevalence and incidence in an isolated, meso-endemic area of Mozambique","Charlwood, J. D. ",2015,Malaria,Malaria,Anopheles,Mozambique,Linga Linga,AFRO,Statistical,GAM,Fixed effect,Smoothed function,Individual,Coordinates,Coordinates,,"All regions are connected, more connected when closer",Distance,,Distance-based
Projecting potential spatial and temporal changes in the distribution of Plasmodium vivax and Plasmodium falciparum malaria in China with climate change,"Hundessa, S. ",2018,Malaria (P. falciparum and P. vivax),Malaria,Anopheles,China,,WPRO,Statistical,GAM,Fixed effect,Smoothed function,District,Coordinates,Coordinates,,"All regions are connected, more connected when closer",Distance,,Distance-based
Quantifying the spatial dimension of dengue virus epidemic spread within a tropical urban environment,"Vazquez-Prokopec, Gonzalo M. ",2010,Dengue,Dengue,Aedes,Australia,Cairns,WPRO,Statistical,GAM,Fixed effect,Smoothed function,Cluster,Coordinates,Coordinates,,"All regions are connected, more connected when closer",Distance,,Distance-based
"Seroprevalence and risk factors for dengue infection in socio-economically distinct areas of Recife, Brazil","Braga, C. ",2010,Dengue,Dengue,Aedes,Brazil,Recife,PAHO,Statistical,GAM,Fixed effect,Smoothed function,Individual,Coordinates,Coordinates,,"All regions are connected, more connected when closer",Distance,,Distance-based
"Spatial evaluation and modeling of dengue seroprevalence and vector density in Rio de Janeiro, Brazil","Honório, N. A. ",2009,Dengue,Dengue,Aedes,Brazil,Rio de Janeiro,PAHO,Statistical,GAM,Fixed effect,Smoothed function,Cluster,Coordinates,Coordinates,,"All regions are connected, more connected when closer",Distance,,Distance-based
Spatial point analysis based on dengue surveys at household level in central Brazil,"Siqueira Junior, J. B. ",2008,Dengue,Dengue,Aedes,Brazil,"Goiania, Central Brazil",PAHO,Statistical,GAM,Fixed effect,Smoothed function,Individual,Coordinates,Coordinates,,"All regions are connected, more connected when closer",Distance,,Distance-based
"Estimating risk factors of urban malaria in Blantyre, Malawi: A spatial regression analysis","Kazembe, L. N.",2016,Malaria (P. falciparum),Malaria,Anopheles,Malawi,"Ndirande, Blantyre",AFRO,Statistical,GAM,Fixed effect,Smoothed function,Individual,Coordinates,Coordinates,,Human movement,Human movement,,Human movement
Using adult Aedes aegypti females to predict areas at risk for dengue transmission: A spatial case-control study,"Parra, M. C. P.",2018,Dengue,Dengue,Aedes,Brazil,São José do Rio Preto,PAHO,Statistical,GAM,Fixed effect,Covariate,Individual,Coordinates,Coordinates,,Not given,Not given,,Not given
"A spatial model of socioeconomic and environmental determinants of dengue fever in Cali, Colombia","Delmelle, E.",2016,Dengue,Dengue,Aedes,Colombia,Cali,PAHO,Statistical,GWR,Fixed effect,Local regression,District,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Comparative spatial dynamics of Japanese encephalitis and acute encephalitis syndrome in Nepal,"Robertson, C. ",2013,Japanese Encephalitis,Japanese Encephalitis,Culex,Nepal,,SEARO,Statistical,GWR,Fixed effect,Local regression,District,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Geographically weighted regression of land cover determinants of Plasmodium falciparum transmission in the Ashanti Region of Ghana,"Ehlkes, L. ",2014,Malaria (P. falciparum),Malaria,Anopheles,Ghana,Ashanti Region,AFRO,Statistical,GWR,Fixed effect,Local regression,Individual,Distance,Distance,,"Nearby observations are connected, connection decays as distance increases",Distance,,Distance-based
"Investigating spatio-temporal distribution and diffusion patterns of the dengue outbreak in Swat, Pakistan","Atique, S. ",2017,Dengue,Dengue,Aedes,Pakistan,Swat,EMRO,Statistical,GWR,Fixed effect,Local regression,District,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
"Micro-spatial distribution of malaria cases and control strategies at ward level in Gwanda district, Matabeleland South, Zimbabwe","Manyangadze, T. ",2017,Malaria,Malaria,Anopheles,Zimbabwe,Gwanda district,AFRO,Statistical,GWR,Fixed effect,Local regression,District,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
"Modeling dengue fever risk based on socioeconomic parameters, nationality and age groups: GIS and remote sensing based case study","Khormi, H. M. ",2011,Dengue,Dengue,Aedes,Saudi Arabia,Jeddah,EMRO,Statistical,GWR,Fixed effect,Local regression,District,Distance,Distance,,Areas within fixed distance are connected,Distance,,Distance-based
"Modeling the spatially varying risk factors of dengue fever in Jhapa district, Nepal, using the semi-parametric geographically weighted regression model","Acharya, B. K. ",2018,Dengue,Dengue,Aedes,Nepal,Jhapa district,SEARO,Statistical,GWR,Fixed effect,Local regression,District,Distance,Distance,,"All regions are connected, more connected when closer",Distance,,Distance-based
Predicting malaria infection in Gambian children from satellite data and bed net use surveys: the importance of spatial correlation in the interpretation of results,"Thomson, M. C. ",1999,Malaria,Malaria,Anopheles,The Gambia,,AFRO,Statistical,GLM,Fixed effect,Generalised estimating equations,District,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
"Spatial modelling of malaria cases associated with environmental factors in South Sumatra, Indonesia","Hasyim, H. ",2018,Malaria,Malaria,Anopheles,Indonesia,South Sumatra,SEARO,Statistical,GWR,Fixed effect,Local regression,District,Distance,Distance,,Areas within fixed distance are connected,Distance,,Distance-based
"Spatially variable risk factors for malaria in a geographically heterogeneous landscape, western Kenya: An explorative study","Homan, T. ",2016,Malaria,Malaria,Anopheles,Kenya,Rusinga Island,AFRO,Statistical,GWR,Fixed effect,Local regression,Cluster,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
"Spatio-temporal patterns of dengue fever cases in Kaoshiung City, Taiwan, 2003-2008","Hsueh, Y. H.",2012,Dengue,Dengue,Aedes,Taiwan,Kaoshiung City,WPRO,Statistical,GWR,Fixed effect,Local regression,District,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
"Urban villages as transfer stations for dengue fever epidemic: A case study in the Guangzhou, China","Ren, H. ",2019,Dengue,Dengue,Aedes,China,Guangzhou,WPRO,Statistical,GWR,Fixed effect,Local regression,Patch,Distance,Distance,,Nearby areas are connected,Distance,,Distance-based
Using geographically weighted regression (GWR) to explore spatial varying relationships of immature mosquitoes and human densities with the incidence of dengue,"Lin, Chia-Hsien ",2011,Dengue,Dengue,Aedes,Taiwan,Kaohsiung and Fengshan,WPRO,Statistical,GWR,Fixed effect,Local regression,District,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Evaluating the role of disease importation in the spatiotemporal transmission of indigenous dengue outbreak,"Wen, T. ",2016,Dengue,Dengue,Aedes,Taiwan,,WPRO,Statistical,GLM,Fixed effect,Outcome,District,Distance,Distance,,Human movement,Human movement,,Human movement
Disentangling the effect of local and global spatial variation on a mosquito-borne infection in a neotropical heterogeneous environment,"Grillet, M. E. ",2010,Malaria (P. vivax),Malaria,Anopheles,Venezuela,"Cajigal Municipality, Sucre state",PAHO,Statistical,GWR,Fixed effect,Local regression,District,Distance,Distance,,"Regions sharing characteristics are connected (on large scale), human and vector movement (smaller scale)",Mixed,"Shared characteristics, human and vector movement",Mixed
"Malaria on the amazonian frontier: Transmission dynamics, risk factors, spatial distribution, and prospects for control","Da Silva-Nunes, M. ",2008,Malaria (P. falciparum and P. vivax),Malaria,Anopheles,Brazil,"Granada, Acre",PAHO,Statistical,GAM,Fixed effect,Covariate,Cluster,Distance,Distance,,"All regions are connected, more connected when closer and shared characteristics within households",Mixed,Shared characteristics and distance,Distance-based
"Epidemiological characteristics and space-time analysis of the 2015 dengue outbreak in the metropolitan region of Tainan city, Taiwan","Chuang, T. W. ",2018,Dengue,Dengue,Aedes,Taiwan,Tainan City,WPRO,Statistical,GLM,Fixed effect,Covariate,District,Distance,Distance,,Regions sharing characteristics are connected,Shared characteristics,,Distance-based
Evaluating neighborhood structures for modeling intercity diffusion of large-scale dengue epidemics,"Wen, T. ",2018,Dengue,Dengue,Aedes,Taiwan,Southern,WPRO,Statistical,GLM,Fixed effect,Covariate,District,"Adjacency, distance and radiation model",Mixed,"Adjacency, distance and mathematical model",Human movement,Human movement,,Human movement
A comprehensive framework for studying diffusion patterns of imported dengue with individual-based movement data,"Tao, H. ",2019,Dengue,Dengue,Aedes,China,Guangzhou,WPRO,Statistical,GLM,Fixed effect,Covariate,Patch,Mobility data,Mobility data,,Human movement,Human movement,,Human movement
Does Bangkok have a central role in the dengue dynamics of Thailand?,"Xu, Z. ",2020,Dengue,Dengue,Aedes,Thailand,,SEARO,Statistical,GLM,Fixed effect,Covariate,District,No data,No data,,Human movement,Human movement,,Human movement
"Spatiotemporal epidemic characteristics and risk factor analysis of malaria in Yunnan Province, China","Yang, D. ",2017,Malaria,Malaria,Anopheles,China,Yunnan,WPRO,Statistical,GWR,Fixed effect,Local regression,District,Not given,Not given,,Nearby areas are connected,Distance,,Distance-based
Characterizing the spatial determinants and prevention of malaria in Kenya,"Gopal, S. ",2019,Malaria,Malaria,Anopheles,Kenya,,AFRO,Statistical,GWR,Fixed effect,Local regression,District,Not given,Not given,,Nearby areas are connected,Distance,,Distance-based
Comparison of malaria incidence rates and socioeconomic-environmental factors between the states of Acre and Rondônia: a spatio-temporal modelling study,"de Oliveira Padilha, M. A. ",2019,Malaria,Malaria,Anopheles,Brazil,Acre and  Rondônia,PAHO,Statistical,GWR,Fixed effect,Local regression,District,Not given,Not given,,Nearby areas are connected,Distance,,Distance-based
"Exploring determinants of spatial variations in the dengue fever epidemic using geographically weighted regression model: A case study in the joint Guangzhou-Foshan area, China, 2014","Ren, H. ",2017,Dengue,Dengue,Aedes,China,Guangzhou and Foshan,WPRO,Statistical,GWR,Fixed effect,Local regression,Patch,Not given,Not given,,Nearby areas are connected,Distance,,Distance-based
Modelling spatial relationship between climatic conditions and annual parasite incidence of malaria in southern part of Sistan&Balouchistan Province of Iran using spatial statistic models,"Halimi, M. ",2014,Malaria,Malaria,Anopheles,Iran,Sistan&Balouchistan Province,EMRO,Statistical,GWR,Fixed effect,Local regression,District,Not given,Not given,,Nearby areas are connected,Distance,,Distance-based
Spatiotemporal Bayesian networks for malaria prediction,"Haddawy, P. ",2018,Malaria (P. falciparum and P. vivax),Malaria,Anopheles,Thailand,Tha Song Yang district,SEARO,Machine learning,Bayesian network,Machine learning,Covariate,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
The spread of mosquito-borne viruses in modern times: A spatio-temporal analysis of dengue and chikungunya,"Rossi, G. ",2018,Chikungunya and dengue,Chikungunya and dengue,Aedes,76 nations,,Multiple,Machine learning,Boosted regression trees,Machine learning,Covariate,Country,"Distance, adjacency and data",Mixed,"Distance, adjacency and data",Human movement; adjacent and close regions are connected,Mixed,"Human movement,  distance, neighbours connected",Mixed
A dynamic neural network model for predicting risk of Zika in real time,"Akhtar, M. ",2019,Zika,Zika,Aedes,The Americas,"Argentina, Brazil, Canada, Chile, Colombia, Curacao, Dominica, Dominican Republic, El Salvador, French Guiana, Guadeloupe, Honduras, Martinique, Mexico,  Panama, Peru, Puerto Rico, Saint Barthelemy, Saint Kitts and Nevis, Saint Martin, Sint Maarten, Uruguay, USA, Venezuela, Virgin Islands",PAHO,Machine learning,Neural network,Machine learning,Covariate,Country and district,Mobility data,Mobility data,,Human movement,Human movement,,Human movement
Inferring Plasmodium vivax Transmission Networks from Tempo-Spatial Surveillance Data,"Shi, B. ",2014,Malaria (P. vivax),Malaria,Anopheles,China,Yunnan,WPRO,Machine learning,Neural network,Machine learning,Movement matrix,District,Mobility data,Mobility data,,Human movement,Human movement,,Human movement
Optimal Population-Level Infection Detection Strategies for Malaria Control and Elimination in a Spatial Model of Malaria Transmission,"Gerardin, J. ",2016,Malaria,Malaria,Anopheles,Zambia,"Gwembe and Sinazongwe districts, Southern Province",AFRO,Mechanistic,Agent-based model,Other,Coefficient,Individual,Distance,Distance,,Mosquito movement and similar regions (within set boundary) are connected,Mixed,"Shared characteristics, vector movement",Mixed
Local and regional dynamics of chikungunya virus transmission in Colombia: The role of mismatched spatial heterogeneity,"Moore, S. M. ",2018,Chikungunya,Chikungunya,Aedes,Colombia,,PAHO,Mechanistic,Metapopulation,Other,Coefficient,District,Mathematical model,Mathematical model,,Human movement,Human movement,,Human movement
"The spatiotemporal transmission of dengue and its driving mechanism: A case study on the 2014 dengue outbreak in Guangdong, China","Zhu, G. ",2018,Dengue,Dengue,Aedes,China,Guangdong,WPRO,Mechanistic,Metapopulation,Other,Movement matrix,District,Mathematical model,Mathematical model,,Human movement,Human movement,,Human movement
Local and regional spread of chikungunya fever in the Americas,"Cauchemez, S. ",2015,Chikungunya,Chikungunya,Aedes,Caribbean and central America,,PAHO,Statistical,Bespoke,Other,Covariate,Country and district,"Distance,  data and mathematical model",Mixed,"Distance,  data and mathematical model",Human movement,Human movement,,Human movement
Travel distance and human movement predict paths of emergence and spatial spread of chikungunya in Thailand,"Chadsuthi, S. ",2018,Chikungunya,Chikungunya,Aedes,Thailand,Southern,SEARO,Mechanistic,Metapopulation,Other,Movement matrix,District,"Adjacency, distance, climate, forest and mathematical model",Mixed,"Adjacency, distance, climate, forest and mathematical model",Human movement,Human movement,,Human movement
Inferring who-infected-whom-where in the 2016 Zika outbreak in Singapore-a spatio-temporal model,"Prem, K. ",2019,Zika,Zika,Aedes,Singapore,,WPRO,Statistical,Bespoke,Other,Spatial kernel,Individual,Distance and public transport journeys,Mixed,Distance and data,Human movement and decays as distance increases,Mixed,Human movement and distance,Mixed
Modeling stochastic processes in disease spread across a heterogeneous social system,"Kim, M. ",2018,Dengue,Dengue,Aedes,Australia,Queensland,WPRO,Mechanistic,Metapopulation,Other,Movement matrix,Cluster,Mobility data,Mobility data,,Human movement,Human movement,,Human movement
Spatial distribution of the relative risk of Zika virus disease in Colombia during the 2015–2016 epidemic from a Bayesian approach,"Flórez‐Lozano, K. ",2020,Zika,Zika,Aedes,Colombia,"Bogotá (DC), Barranquilla, Santa Marta, and Cartagena",PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Decays as distance increases,Distance,,Distance-based
Spatial modelling of the relative risk of dengue fever in Rio de Janeiro for the epidemic period between 2001 and 2002,"Ferreira, G.S. ",2006,Dengue,Dengue,Aedes,Brazil,Rio de Janeiro,PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Decays as distance increases,Distance,,Distance-based
The changing risk of Plasmodium falciparum malaria infection in Africa: 2000-10: A spatial and temporal analysis of transmission intensity,"Noor, A. M. ",2014,Malaria (P. falciparum),Malaria,Anopheles,49 African countries,,AFRO,Statistical,GLMM,Mixed effect,Random effect,Cluster,Adjacency,Adjacency,,Decays as distance increases,Distance,,Distance-based
The effect of case management and vector-control interventions on space-time patterns of malaria incidence in Uganda,"Ssempiira, J. ",2018,Malaria,Malaria,Anopheles,Uganda,,AFRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Neighbouring regions sharing characteristics are connected,Mixed,Shared characteristics and neighbours connected,Distance-based
Analysis of clinical malaria disease patterns and trends in Vietnam 2009-2015,"Wangdi, K. ",2018,Malaria (P. falciparum and P. vivax),Malaria,Anopheles,Vietnam,,SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Bayesian space-time modeling of malaria incidence in Sucre state, Venezuela","Villalta, D. ",2012,Malaria,Malaria,Anopheles,Venezuela,Sucre state,PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Bayesian Spatial Modeling and Mapping of Dengue Fever: A Case Study of Dengue Feverin the City of Bandung, Indonesia","Jaya, I. G. M. N.",2016,Dengue,Dengue,Aedes,Indonesia,Bandung,SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
